A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-10 21:00,2016,1,10,21,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 22:00,2016,1,10,22,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-10 23:00,2016,1,10,23,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 00:00,2016,1,11,0,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 01:00,2016,1,11,1,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 02:00,2016,1,11,2,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 03:00,2016,1,11,3,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 04:00,2016,1,11,4,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 05:00,2016,1,11,5,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 06:00,2016,1,11,6,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 07:00,2016,1,11,7,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 08:00,2016,1,11,8,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 09:00,2016,1,11,9,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 10:00,2016,1,11,10,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 11:00,2016,1,11,11,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 12:00,2016,1,11,12,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 13:00,2016,1,11,13,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 14:00,2016,1,11,14,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 15:00,2016,1,11,15,10,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 16:00,2016,1,11,16,9,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 17:00,2016,1,11,17,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 18:00,2016,1,11,18,8,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 19:00,2016,1,11,19,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 20:00,2016,1,11,20,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 21:00,2016,1,11,21,12,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-11 22:00,2016,1,11,22,17,µg/m³,1 Hr,Valid
